time,open,high,low,close
1733966100,70.34,70.34,70.29,70.3
1733966400,70.31,70.35,70.31,70.34
1733966700,70.34,70.34,70.29,70.3
1733967000,70.3,70.3,70.21,70.21
1733967300,70.22,70.22,70.18,70.19
1733967600,70.19,70.22,70.17,70.2
1733967900,70.19,70.21,70.18,70.18
1733968200,70.19,70.22,70.15,70.21
1733968500,70.2,70.23,70.19,70.21
1733968800,70.2,70.24,70.18,70.22
1733969100,70.22,70.23,70.17,70.18
1733969400,70.18,70.26,70.18,70.26
1733969700,70.26,70.26,70.22,70.23
1733970000,70.24,70.24,70.19,70.21
1733970300,70.21,70.22,70.18,70.21
1733970600,70.22,70.25,70.2,70.23
1733970900,70.23,70.29,70.23,70.27
1733971200,70.27,70.28,70.25,70.27
1733971500,70.27,70.28,70.26,70.28
1733971800,70.26,70.28,70.26,70.27
1733972100,70.27,70.28,70.26,70.26
1733972400,70.26,70.32,70.26,70.32
1733972700,70.33,70.34,70.31,70.33
1733973000,70.33,70.34,70.31,70.32
1733973300,70.32,70.35,70.32,70.35
1733973600,70.34,70.36,70.32,70.34
1733973900,70.33,70.37,70.33,70.36
1733974200,70.36,70.36,70.3,70.3
1733974500,70.3,70.3,70.24,70.24
1733974800,70.25,70.27,70.24,70.25
1733975100,70.25,70.28,70.25,70.28
1733975400,70.29,70.29,70.26,70.26
1733975700,70.27,70.28,70.26,70.28
1733976000,70.28,70.29,70.25,70.25
1733976300,70.25,70.26,70.24,70.24
1733976600,70.25,70.26,70.24,70.26
1733976900,70.26,70.27,70.26,70.27
1733977200,70.26,70.29,70.26,70.27
1733977500,70.27,70.3,70.27,70.29
1733977800,70.29,70.29,70.28,70.29
1733978100,70.29,70.29,70.28,70.29
1733978400,70.28,70.3,70.28,70.29
1733978700,70.29,70.32,70.28,70.31
1733979000,70.31,70.32,70.3,70.32
1733979300,70.32,70.35,70.32,70.35
1733979600,70.35,70.35,70.32,70.33
1733979900,70.33,70.34,70.3,70.32
1733980200,70.32,70.35,70.32,70.35
1733980500,70.34,70.37,70.34,70.36
1733980800,70.36,70.36,70.35,70.36
1733981100,70.36,70.37,70.36,70.37
1733981400,70.38,70.47,70.36,70.46
1733981700,70.46,70.48,70.42,70.44
1733982000,70.44,70.48,70.42,70.47
1733982300,70.47,70.51,70.44,70.48
1733982600,70.49,70.53,70.47,70.51
1733982900,70.51,70.51,70.4,70.43
1733983200,70.44,70.46,70.43,70.44
1733983500,70.45,70.48,70.45,70.47
1733983800,70.47,70.47,70.41,70.45
